"cc_num","transaction_count","fraud_count","fraud_rate"
"4874006077381178","516","16",0.031007751937984496
"3534093764340240","493","15",0.030425963488843813
"342360239917375","504","15",0.02976190476190476
"676326610042","504","15",0.02976190476190476
"2227671554547514","545","16",0.029357798165137616
"5289285402893489","511","15",0.029354207436399216
"36890292963032","514","15",0.029182879377431907
"2229824890647120","529","15",0.02835538752362949
"5154903938030655","529","15",0.02835538752362949
"4789911625179723","502","14",0.027888446215139442
