"cc_num","amt","trans_date_trans_time","is_fraud"
"4979422371139333",28948.9,"2019-12-01 16:19:23","0"
"675909898057",27390.12,"2019-12-02 15:53:46","0"
"60423098130",27119.77,"2020-05-30 17:31:30","0"
"30408301059761",26544.12,"2019-09-14 22:19:01","0"
"5540636818935089",25086.94,"2019-06-14 20:15:38","0"
"6538441737335434",17897.24,"2019-04-07 15:32:23","0"
"36153880429415",15305.95,"2020-04-02 14:23:21","0"
"2264937662466770",15047.03,"2019-11-17 20:00:17","0"
"4450831335606294",15034.18,"2019-03-22 13:17:34","0"
"3592931352252641",14849.74,"2020-06-02 18:45:24","0"
