"cc_num","age","transaction_count","average_amount","fraud_rate"
"676327197445",77,"8",774.74375,1
"4593569795412",29,"19",443.78578947368425,1
"577891228931",63,"12",732.4783333333334,1
"60427851591",48,"528",111.98789772727268,0.026515151515151516
"4806443445305",23,"521",65.88694817658347,0.02495201535508637
"565399283797",31,"521",102.99817658349328,0.02111324376199616
"676148621961",62,"1034",65.05104448742749,0.013539651837524178
"30427035050508",55,"1021",76.49940254652299,0.007835455435847209
"581293083266",35,"1559",99.96600384862091,0.007055805003207184
"30030380240193",31,"2024",92.53266304347827,0.004446640316205534
